,question,contexts,ground_truth,evolution_type,metadata,episode_done
23,"Why does the author find the ""Getting Things Done (GTD)"" approach to be complex in practice?","['tured todo list in front of me with 100 things on it and I stare\nat it and am paralyzed into inaction (or, more likely, structured\nprocrastination).\nSo a day when I get 3 to 5 concrete, actionable things done in\naddition to all the other stuW one has to do to get through the\nday — well, that’s a good day.\nA few people have said, why not just use GTD (David Allen’s\n“Getting Things Done” approach).\nWhile I Xnd GTD to be highly inspiring, in practice I think it’s\nawfully complex. At least if your job is based on project work (as\nopposed to having a highly structured role like CEO or head of']","The author finds the 'Getting Things Done (GTD)' approach to be complex in practice because their job is based on project work, as opposed to having a highly structured role like CEO or head of a department.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 143, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
24,What is the potential risk and benefit of doing a big transformative deal for a company in crisis?,"['cut some big deals, do some spinoWs, whatever — but change\nthe story. Reintroduce curiosity.\nWhen all else fails, do a “shake and bake” — do a big transfor-\nmative deal that you’re not sure will work but which you think\nhas a real shot. That will at the very least inject energy back into\nthe situation.\nI am being deliberately cavalier about this tactic, especially the\n“shake and bake” part. You can easily destroy your company\nwith this kind of move.\nBut — and this is a very important but — a company in crisis\noaen has a severe narrative or “story” problem that accompa-']",The potential benefit of doing a big transformative deal for a company in crisis is that it can inject energy back into the situation. The potential risk is that it can easily destroy the company.,simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 95, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
25,What factors set MySpace's value at $3-5B?,"['lot of money quite quickly.\nPeople laughed when Fox bought MySpace for $580 million, but\nthat’s a business that will generate nearly $300 million in rev-\nenue in 2007, and more in 2008.\nAs an independent asset today, MySpace would probably be val-\nued at between $3 billion and $5 billion today — perhaps higher.\nCall that the deal of the decade.\nSimilarly, Facebook is bringing in a lot more revenue than peo-\nple think.\nAnd then there’s Google.\nThese companies aren’t pulling in all that revenue via some\nkind of Ponzi scheme.\nThis is money coming from real advertisers and real users for']",The answer to given question is not present in context,multi_context,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 188, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
26,How did restricted stock affect Microsoft's stock stability and employee risk?,"['of creating value. And new hires will by deXnition be people who\nare conservative and change-averse, as the people who want\nto swing for the fences and get rewarded for creating some-\nthing new will go somewhere else, where they will receive stock\noptions — in typically greater volume than anyone will ever\ngrant restricted stock — and have greater upside.\nAnd sure enough, in the wake of shiaing towards restricted\nstock and away from stock options, Microsoa’s stock has been\nYat as a pancake. The incentive works.\nNow, against that, it is true that stock options, particularly for', 'favor of restricted stock at Microsoa. [Gates] recalls asking: “How\nwill employees respond to getting a lottery ticket that gives them a\ndeXnite amount instead of one that could amount to nothing or a\nridiculous sum?”\nMr. BuWett’s reply, according to Mr. Gates, was: “My wife would\nrather have a ticket for one fur coat, than a ticket that gave her two\nor nothing.”\nOvert sexism aside, from an incentive standpoint the result of\nshiaing from stock options to restricted stock should be obvi-\nous: current employees will be incented to preserve value instead']","The shift towards restricted stock and away from stock options at Microsoft has resulted in the company's stock being flat as a pancake, indicating stability. This change also means that employees are more conservative and change-averse, as they are now incentivized to preserve value instead of taking risks.",multi_context,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 148, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}, {'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 148, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
27,How does rapid promotion impact careers and management's image?,"['You can clearly overdo this — you can promote someone before\nthey are ready and in the worst case, completely screw up their\ncareer. (Seen it. Done it.) You can also promote someone to their\nlevel of incompetence — the Peter Principle. (Seen it. Done it.)\nHowever, life is short, startups move fast, and you have stuE to get\ndone. You aren’t going to have the privilege of working with\nthat many great, talented, high-potential people in your career.\nWhen you Xnd one, promote her as fast as you can. Great for\nher, great for the company, and great for you.']","Rapid promotion can have both positive and negative impacts. It can completely screw up someone's career if they are promoted before they are ready or promote them to their level of incompetence, known as the Peter Principle. However, promoting a high-potential individual quickly can be great for her, the company, and the management.",multi_context,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 66, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
28,How do doubt avoidance and curiosity affect an entrepreneur's adaptability?,"['some combination of (1) puzzlement and (2) stress.\nThis is probably a good one for entrepreneurs. You’d better not\nhave a lot of doubts about what you are doing because everyone\nelse will, and if you do too, you’ll probably give up.\nOf course, an entrepreneur’s doubt avoidance is only a plus\nright up to the point where it becomes pigheaded stubbornness\nthat interferes with her ability to see reality, particularly when a\nstrategy is not working.\nIn my view, entrepreneurial judgment is the ability to tell the\ndiWerence between a situation that’s not working but persistence', 'cient curiosity can prevent you from seeing the new data and\nlead you to continue to pursue a losing strategy even when you\nwouldn’t have to.\nThe Psychology of Entrepreneurial Misjudgment: Biases 1-6\n153']",The answer to given question is not present in context,multi_context,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 154, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}, {'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 157, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
29,How do Liking/Loving vs. Disliking/Hating affect behavior?,"['One very practical consequence of Liking/Loving Tendency is that\nit acts as a conditioning device that makes the liker or lover tend\n(1) to ignore faults of, and comply with wishes of, the object of his\naWection, (2) to favor people, products, and actions merely associ-\nated with the object of his aWection (as we shall see when we get\nto “InYuence-from-Mere-Association Tendency”), and (3) to distort\nother facts to facilitate love.\nThe application of this principle to entrepreneurs is obvious:\nentrepreneurs want to be liked just like everyone else, and want-', 'abnormal triggering forces in its life…\nAs a result, the long history of man contains almost continuous\nwar…\nDisliking/Hating Tendency also acts as a conditioning device that\nmakes the disliker/hater tend to (1) ignore virtues in the object of\ndislike, (2) dislike people, products, and actions merely associated\nwith the object of his dislike, and (3) distort other facts to facilitate\nhatred.\nIf this is a problem inside your company, then you have bigger\nissues than I can help you with.\nHowever, I think this dynamic kicks in for a startup when think-\ning about competitors.']","Liking/Loving Tendency makes the liker or lover tend to ignore faults of, and comply with wishes of, the object of his affection, favor people, products, and actions merely associated with the object of his affection, and distort other facts to facilitate love. Disliking/Hating Tendency makes the disliker/hater tend to ignore virtues in the object of dislike, dislike people, products, and actions merely associated with the object of his dislike, and distort other facts to facilitate hatred.",multi_context,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 151, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}, {'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 152, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
30,How do math and econ degrees prep for real-world challenges and signal intent to employers?,"['because all the jobs are going to India and China is silliness;\nignore it.\nHard science degrees — physics, chemistry — also clearly qual-\nify, as do mathematics and economics.\nWhy do I take this stance?\n•\nTechnical degrees teach you how to do something diZcult\nand useful that matters in the real world. Even if you don’t\nend up actually doing what the degree teaches you how to do,\ngoing through the experience of learning how to do it will\nhelp you go through other serious learning experiences in\nyour career. Complexity and diZculty will not faze you.\n•', '•\nPlus, technical degrees teach you how think like an engineer,\na scientist, an economist, or a mathematician — how to use\nreason, logic, and data. This is incredibly useful in the real\nworld, which generally demands rigorous thinking on the\npath to doing anything big.\n•\nPlus, technical degrees indicate seriousness of purpose to\nfuture employers and partners. You get coded right up front\nas someone who is intent on doing real things.\nGraduating with a technical degree is like heading out into the real\n108\nThe Pmarca Blog Archives']","Math and econ degrees prepare for real-world challenges by teaching you how to do something difficult and useful that matters in the real world. They also teach you how to think like an engineer, a scientist, an economist, or a mathematician, using reason, logic, and data. This rigorous thinking is incredibly useful in the real world. Additionally, these degrees indicate seriousness of purpose to future employers and partners, coding you as someone intent on doing real things.",multi_context,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 112, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}, {'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 112, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
31,How do pre-planning and refining questions boost hiring?,"['to each interviewer ahead of time.\nI do this myself — always enter the room with a list of questions\npre-planned — because I don’t want to count on coming up with\nthem on the Yy.\nThe best part is that you can then iteratively reXne the questions\nwith your team as you interview candidates for the position.\nThis is one of the best ways for an organization to become really\ngood at hiring: by iterating the questions, you’re reXning what\nyour criteria are — and how you screen for those criteria.\nFourth, pay attention to the little things during the interview\nprocess.', 'For a marketing person — have them whiteboard out a launch\nfor your new product.\nThird, plan out and write down interview questions ahead of\ntime.\nI’m assuming that you know the right interview questions for\nthe role — and frankly, if you don’t, you probably shouldn’t be\nthe hiring manager for that position.\nThe problem I’m addressing is: most people don’t know how to\ninterview a candidate.\nAnd even people who do know how, aren’t necessarily good at\ncoming up with questions on the Yy.\nSo just make sure you have questions planned out and assigned\nto each interviewer ahead of time.']","Pre-planning and refining questions boost hiring by allowing the organization to iteratively refine the questions with the team as they interview candidates. This process helps in refining the criteria for the role and how to screen for those criteria, making the organization better at hiring.",multi_context,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 81, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}, {'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 81, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
32,How can excelling at a non-top school and early work experience boost your career?,"['exposed to the best people and the best opportunities in your\nXeld.\nIf you can’t start out in one of the top schools for your Xeld, then\nwork your butt oW and get great grades and transfer as fast as\nyou possibly can into a top school.\nAnd if you can’t do that — if you end up getting your undergrad\nat a school that’s not one of the top in your Xeld — then strongly\nconsider pursuing a graduate degree in your Xeld at a great\nschool for your Xeld.\nIn this way, even if your only option is starting out at a commu-\nnity college, by the time you Xnish 4-6 years of education, you', 'undergrads to do some of the work, and being a staW member at\na campus computer lab or research lab.\nAnd then aggressively pursue internship and co-op programs — to\nget real-world working experience at companies in your Xeld,\nbefore you even graduate. Target the best companies in your\nXeld, and go aaer the opportunities early and oaen.\nIf you do this right, by the time you graduate even with just an\nundergrad degree, you can have a year and a half of real work-\ning experience at high-quality companies plus another four\nyears of practical experience from an on-campus job under\nyour belt.\n110']","Excelling at a non-top school and gaining early work experience can boost your career by allowing you to transfer to a top school, pursue a graduate degree at a great school, and accumulate real-world working experience through internships, co-op programs, and on-campus jobs. This combination can result in having significant practical experience and work experience at high-quality companies by the time you graduate.",multi_context,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 114, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}, {'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 114, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
33,How does an engineering or math undergrad + MBA make a 'double threat'?,"['workforce in a high-impact way when you graduate, and you’ll\nhave to go get a useful graduate degree.\nAnd even if you are already planning to get a useful graduate\ndegree, you are much better oW combining it with a substantive\nundergraduate degree — thereby becoming a “double threat”.\nMore on this in a bit.\nWhich undergraduate degrees are useful in\nthe real world?\nTypically, those that have a technical element of some form —\nthat teach you how to do something substantive.\nEngineering degrees obviously qualify. The current myth that\nengineering and computer science degrees are less useful', 'that for what it’s worth.\nIf you don’t have a useful undergrad degree, then a useful grad-\nuate degree is deFnitely a great idea. Business, math, economics,\nscience — something practical, substantive.\nQuite a few people in business have paired a liberal arts under-\ngrad degree with an MBA. They seem to do just Xne. But I think\nthat’s a missed opportunity — much better would be an MBA\non top of an engineering or math undergraduate degree. Peo-\nple with that combination are invaluable, and there aren’t nearly\nenough of them running around.']","An engineering or math undergraduate degree combined with an MBA makes a 'double threat' because it pairs a technical, substantive education with business acumen, making individuals with this combination invaluable in the workforce.",multi_context,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 112, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}, {'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 113, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
34,How does Beethoven's link between productivity and creative success guide a thriving creative career?,"['becomes irrelevant to determining the success of a particular con-\ntribution.\nOK, that’s interesting. Quality of output does not vary by age…\nwhich means, of course, that attempting to improve your bat-\nting average of hits versus misses is a waste of time as you\nprogress through a creative career. Instead you should just focus\non more at-bats — more output. Think about that one.\nIf this sounds insane to you, Dr. Simonton points out that the\nperiods of Beethoven’s career that had the most hits also had the\nAge and the Entrepreneur: Some data\n157', 'most misses — works that you never hear. As I am always fond\nof asking in such circumstances, if Beethoven couldn’t increase\nhis batting average over time, what makes you think you can?\n[C]reativity is a probabilistic consequence of productivity, a rela-\ntionship that holds both within and across careers.\nWithin single careers, the count of major works per age period\nwill be a positive function of total works generated each period,\nyielding a quality ratio that exhibits no systematic developmental\ntrends.\nAnd across careers, those individual creators who are the most pro-']","Beethoven's link between productivity and creative success suggests that to thrive in a creative career, one should focus on increasing the number of attempts or outputs rather than trying to improve the quality of each individual work. This is because creativity is seen as a probabilistic consequence of productivity, meaning that more output increases the chances of producing major works.",multi_context,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 161, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}, {'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 162, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
35,How does creative field affect peak age and decline in output?,"['ods when productivity is highest, the peak age for creative impact\nshould not vary as a function of either the success of the particular\ncontribution or the Xnal fame of the creator. …\nThus, even though an impressive lifetime output of works, and\nsubsequent distinction, is tied to precocity, longevity, and produc-\ntion rate, the expected age optimum for quantity and quality of\ncontribution is dependent solely on the particular form of creative\nexpression.\nWow, again.\nAnyone who demonstrates… an age decrement in achievement is\nlikely to provoke controversy. Aaer all, aging is a phenomenon easy', 'decline, tends to vary depending on the domain of creative\nachievement.\nAt one extreme, some Xelds are characterized by relatively early\npeaks, usually around the early 30s or even late 20s in chronologi-\ncal units, with somewhat steep descents thereaaer, so that the out-\nput rate becomes less than one-quarter the maximum. This age-\nAge and the Entrepreneur: Some data\n155']","The peak age for creative impact and the decline in output varies depending on the domain of creative achievement. Some fields are characterized by relatively early peaks, usually around the early 30s or even late 20s, with steep descents thereafter, resulting in an output rate that becomes less than one-quarter of the maximum.",multi_context,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 162, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}, {'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 159, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
36,How does a growth slowdown affect stock and morale?,"['ning problem. Or rather, a “not winning” problem.\nThe typical case is a company that used to be a hot growth com-\npany, but the growth has Yattened out, causing the stock to tank\nand everyone to be in a bad mood. Or, alternately, an older\nbig company that did really well for a while but more recently\nhasn’t been doing so well, causing the stock to tank and every-\none to be in a bad mood.\nIn other words, a company in transition — from winning at one\npoint, to not winning now.']",A growth slowdown causes the stock to tank and everyone to be in a bad mood.,multi_context,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 90, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
37,How are '00s sci-fi novelists like Charles Stross revitalizing the genre?,"[""Top 10 science Dction novelists of\nthe '00s ... so far (June 2007)\nWe are blessed so far this decade with an amazing crop of new\nscience Xction novelists.\nWriting in a variety of styles, this crew is arguably more insight-\nful, more interesting, higher intensity, and bolder than many\n(but not all!) of their predecessors — and in my view revitalizing\nthe genre at a time when more new technologies that will rad-\nically reshape all our lives are incubating and percolating than\never before.\nSo, taking nothing away from authors like David Brin who have"", 'long been established and continue to produce top-notch work,\nhere are my nominations for the top 10 new science Xction nov-\nelists of — more or less — the decade, plus one bonus.\nAnd, they’re not all British.\nCharles Stross\nStross, in my opinion, is Xrst among equals — the single best\nemerging talent with several outstanding novels in various styles\nunder his belt and hopefully many more to come.\n“One of us” in the sense that his career includes a stint as —\nnot kidding — Linux columnist for Computer Shopper magazine,\nStross is equally adept at both near-future and radically-extrap-']","The '00s sci-fi novelists, including Charles Stross, are revitalizing the genre by being more insightful, more interesting, higher intensity, and bolder than many of their predecessors. They are writing in a variety of styles and are emerging at a time when new technologies that will radically reshape our lives are incubating and percolating.",multi_context,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 177, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}, {'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 177, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
